"date_time","pushup"
"2025/04/10",35
"2025/04/08",35
"2025/04/06",35
"2025/04/03",35
"2025/04/01",35
"2025/03/30",35
"2025/03/27",40
"2025/03/25",35
"2025/03/23",35
"2025/03/19",40
"2025/03/17",35
"2025/03/14",35
"2025/03/12",40
"2025/03/10",40
"2025/03/08",35
"2025/03/06",40
"2025/03/04",35
"2025/03/02",40
"2025/02/28",40
"2025/02/26",40
"2025/02/24",40
"2025/02/22",35
"2025/02/20",40
"2025/02/18",40
"2025/02/16",35
"2025/02/14",40
"2025/02/12",40
"2025/02/10",40
"2025/02/05",40
"2025/02/03",40
"2025/02/01",40
"2025/01/30",40
"2025/01/28",40
"2025/01/26",40
"2025/01/24",40
"2025/01/22",40
"2025/01/20",40
"2025/01/18",40
"2025/01/16",40
"2025/01/14",40
"2025/01/12",35
"2025/01/10",40
"2025/01/08",40
"2025/01/06",40
"2025/01/04",40
"2025/01/02",40
"2024/12/31",40
"2024/12/29",40
"2024/12/27",40
"2024/12/25",40
"2024/12/23",40
"2024/12/21",40
"2024/12/19",40
"2024/12/17",40
"2024/12/15",35
"2024/12/13",35
"2024/12/11",35
"2024/12/09",35
"2024/12/07",35
"2024/12/05",35
"2024/12/03",35
"2024/12/01",35
"2024/11/28",35
"2024/11/26",35
"2024/11/24",35
"2024/11/22",35
"2024/11/20",35
"2024/11/18",35
"2024/11/16",35
"2024/11/13",30
"2024/11/11",30
"2024/11/06",35
"2024/11/04",35
"2024/10/31",35
"2024/10/28",30
"2024/10/25",30
"2024/10/23",30
"2024/10/16",30
"2024/10/14",35
"2024/10/10",35
"2024/09/24",35
"2024/09/20",35
"2024/09/18",35
"2024/09/15",35
"2024/09/11",35
"2024/09/08",35
"2024/09/05",30
"2024/09/03",35
"2024/09/01",35
"2024/08/29",35
"2024/08/27",35
"2024/08/25",35
"2024/08/23",30
"2024/08/20",30
"2024/08/04",35
"2024/08/01",35
"2024/07/30",35
"2024/07/28",35
"2024/07/25",35
"2024/07/22",35
"2024/07/20",35
"2024/07/16",35
"2024/07/14",35
"2024/07/12",35
"2024/07/09",35
"2024/07/07",35
"2024/07/05",30
"2024/07/02",35
"2024/06/30",30
"2024/06/27",35
"2024/06/25",35
"2024/06/23",35
"2024/06/19",30
"2024/06/17",35
"2024/06/13",35
"2024/06/11",30
"2024/06/09",30
"2024/06/04",35
"2024/06/02",35
"2024/05/30",30
"2024/05/28",30
"2024/05/22",30
"2024/05/20",30
"2024/05/17",35
"2024/05/14",35
"2024/05/12",35
"2024/05/09",35
"2024/05/07",30
"2024/05/05",35
"2024/05/03",35
"2024/05/01",30
"2024/04/29",30
"2024/04/24",30
"2024/04/22",35
"2024/04/20",30
"2024/04/17",30
"2024/04/15",35
"2024/04/13",30
"2024/04/11",30
"2024/04/09",30
"2024/04/07",30
"2024/04/05",35
"2024/04/03",35
"2024/04/01",30
"2024/03/30",30
"2024/03/28",30
"2024/03/26",30
"2024/03/24",30
"2024/03/22",30
"2024/03/20",30
"2024/03/18",30
"2024/03/17",30
"2024/03/14",30
"2024/03/12",30
"2024/03/10",30
"2024/03/07",30
"2024/03/05",25
"2024/03/03",30
"2024/03/01",30
"2024/02/28",25
"2024/02/26",25
"2024/02/18",30
"2024/02/16",30
"2024/02/14",30
"2024/02/11",30
"2024/02/08",30
"2024/02/06",25
"2024/02/05",30
"2024/02/02",25
"2024/02/01",30
"2024/01/29",25
"2024/01/26",25
"2024/01/24",30
"2024/01/19",25
"2024/01/17",25
"2024/01/15",25
"2024/01/14",30
"2024/01/12",25
"2024/01/11",25
"2024/01/10",25
"2024/01/09",25
"2024/01/08",28
"2024/01/06",25
"2024/01/05",25
"2024/01/04",25
"2024/01/03",25
"2024/01/02",25
"2024/01/01",25
"2023/12/31",25
"2023/12/30",25
"2023/12/29",25
"2023/12/28",25
"2023/12/27",25
"2023/12/26",25
"2023/12/25",25
"2023/12/24",25
"2023/12/22",25
"2023/12/20",25
"2023/12/19",25
"2023/12/18",25
"2023/12/17",25
"2023/12/15",25
"2023/12/14",25
"2023/12/13",25
"2023/12/12",25
"2023/12/11",20
